EPOCH,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,BSTAR,TLE_LINE1,TLE_LINE2
2022-02-02 14:00:01.000224,50803,15.73143891,0.00020600,53.2137,67.0027,28.2229,239.1445,0.00076316,0.00054452000000,1 50803U 22001A   22033.58334491  .00076316  00000-0  54452-3 0  9994,2 50803  53.2137  67.0027 0002060  28.2229 239.1445 15.73143891  3726
2022-02-02 22:00:00.999936,50803,15.73158862,0.00018050,53.2143,65.3511,34.0265,322.2394,0.00081202,0.00057841000000,1 50803U 22001A   22033.91667824  .00081202  00000-0  57841-3 0  9995,2 50803  53.2143  65.3511 0001805  34.0265 322.2394 15.73158862  3713
2022-02-03 06:00:00.999648,50803,15.73234254,0.00019270,53.2140,63.7024,34.0328,51.1524,0.00006435,0.00005016800000,1 50803U 22001A   22034.25001157  .00006435  00000-0  50168-4 0  9995,2 50803  53.2140  63.7024 0001927  34.0328  51.1524 15.73234254  5610
2022-02-03 14:00:01.000224,50803,15.73266067,0.00020040,53.2139,62.0537,28.2310,145.9203,-0.00028131,-0.00019610000000,1 50803U 22001A   22034.58334491 -.00028131  00000-0 -19610-3 0  9996,2 50803  53.2139  62.0537 0002004  28.2310 145.9203 15.73266067  3703
2022-02-03 22:00:01.999584,50803,15.73226079,0.00017450,53.2143,60.4016,26.0414,237.2236,-0.00005910,-0.00003767200000,1 50803U 22001A   22034.91668981 -.00005910  00000-0 -37672-4 0  9996,2 50803  53.2143  60.4016 0001745  26.0414 237.2236 15.73226079  3715
2022-02-04 06:00:00.999648,50803,15.73242970,0.00018850,53.2144,58.7529,25.0413,327.1246,0.00030044,0.00021731000000,1 50803U 22001A   22035.25001157  .00030044  00000-0  21731-3 0  9992,2 50803  53.2144  58.7529 0001885  25.0413 327.1246 15.73242970  5763
2022-02-04 14:00:01.999872,50803,15.73279167,0.00020960,53.2138,57.1038,25.5530,55.6524,-0.00071717,-0.00050913000000,1 50803U 22001A   22035.58335648 -.00071717  00000-0 -50913-3 0  9991,2 50803  53.2138  57.1038 0002096  25.5530  55.6524 15.73279167  3717
2022-02-04 20:00:01.000224,50803,15.73188847,0.00017570,53.2140,55.8651,27.7561,30.0576,0.00028527,0.00020708000000,1 50803U 22001A   22035.83334491  .00028527  00000-0  20708-3 0  9992,2 50803  53.2140  55.8651 0001757  27.7561  30.0576 15.73188847  5863
2022-02-04 22:00:00.999936,50803,15.73160925,0.00017330,53.2138,55.4523,27.1231,142.9313,0.00098630,0.00070009000000,1 50803U 22001A   22035.91667824  .00098630  00000-0  70009-3 0  9991,2 50803  53.2138  55.4523 0001733  27.1231 142.9313 15.73160925  3694
2022-02-05 03:22:45.225408,50803,15.73241667,0.00020650,53.2154,54.3453,44.7017,315.4170,0.00036987,0.00026631000000,1 50803U 22001A   22036.14080122  .00036987  00000-0  26631-3 0  9996,2 50803  53.2154  54.3453 0002065  44.7017 315.4170 15.73241667  5905
2022-02-05 11:00:08.647488,50803,15.73246819,0.00019960,53.2146,52.7719,29.0284,331.0847,0.00025405,0.00018451000000,1 50803U 22001A   22036.45843342  .00025405  00000-0  18451-3 0  9995,2 50803  53.2146  52.7719 0001996  29.0284 331.0847 15.73246819  5951
2022-02-05 14:00:01.000224,50803,15.73242325,0.00019600,53.2143,52.1550,18.3969,329.5709,-0.00018005,-0.00012390000000,1 50803U 22001A   22036.58334491 -.00018005  00000-0 -12390-3 0  9995,2 50803  53.2143  52.1550 0001960  18.3969 329.5709 15.73242325  3693
2022-02-05 20:00:01.000224,50803,15.73213893,0.00017600,53.2148,50.9160,23.1949,301.5001,-0.00054968,-0.00038953000000,1 50803U 22001A   22036.83334491 -.00054968  00000-0 -38953-3 0  9994,2 50803  53.2148  50.9160 0001760  23.1949 301.5001 15.73213893  6013
2022-02-06 14:00:01.999872,50803,15.73072067,0.00020560,53.2143,47.2060,22.4219,232.3211,0.00023803,0.00017447000000,1 50803U 22001A   22037.58335648  .00023803  00000-0  17447-3 0  9999,2 50803  53.2143  47.2060 0002056  22.4219 232.3211 15.73072067  6130
2022-02-06 22:00:00.999936,50803,15.73032333,0.00018520,53.2144,45.5550,31.0601,312.4063,0.00225380,0.00157880000000,1 50803U 22001A   22037.91667824  .00225380  00000-0  15788-2 0  9999,2 50803  53.2144  45.5550 0001852  31.0601 312.4063 15.73032333  3695
2022-02-07 14:00:01.000224,50803,15.73286834,0.00019850,53.2148,42.2580,22.3130,138.9503,-0.00045164,-0.00031788000000,1 50803U 22001A   22038.58334491 -.00045164  00000-0 -31788-3 0  9995,2 50803  53.2148  42.2580 0001985  22.3130 138.9503 15.73286834  3689
2022-02-07 14:00:01.000224,50803,15.73286834,0.00019850,53.2148,42.2580,22.3130,138.9503,-0.00045164,-0.00031788000000,1 50803U 22001A   22038.58334491 -.00045164  00000-0 -31788-3 0  9995,2 50803  53.2148  42.2580 0001985  22.3130 138.9503 15.73286834  6299
2022-02-07 22:00:00.999936,50803,15.73263200,0.00017950,53.2151,40.6063,26.5348,223.7326,0.00010449,0.00007856900000,1 50803U 22001A   22038.91667824  .00010449  00000-0  78569-4 0  9996,2 50803  53.2151  40.6063 0001795  26.5348 223.7326 15.73263200  3708
2022-02-08 04:00:00.999936,50803,15.73284969,0.00019920,53.2154,39.3704,29.3079,197.7118,-0.00084754,-0.00060328000000,1 50803U 22001A   22039.16667824 -.00084754  00000-0 -60328-3 0  9999,2 50803  53.2154  39.3704 0001992  29.3079 197.7118 15.73284969  6380
2022-02-08 14:00:01.000224,50803,15.73207589,0.00020740,53.2147,37.3087,26.7352,41.5088,0.00024177,0.00017612000000,1 50803U 22001A   22039.58334491  .00024177  00000-0  17612-3 0  9995,2 50803  53.2147  37.3087 0002074  26.7352  41.5088 15.73207589  3709
2022-02-08 20:00:01.999872,50803,15.73213865,0.00018840,53.2148,36.0701,30.7336,14.2872,0.00035884,0.00025884000000,1 50803U 22001A   22039.83335648  .00035884  00000-0  25884-3 0  9995,2 50803  53.2148  36.0701 0001884  30.7336  14.2872 15.73213865  6495
2022-02-08 22:00:01.999584,50803,15.73241381,0.00018690,53.2148,35.6575,33.6888,123.5640,-0.00018802,-0.00012960000000,1 50803U 22001A   22039.91668981 -.00018802  00000-0 -12960-3 0  9997,2 50803  53.2148  35.6575 0001869  33.6888 123.5640 15.73241381  3696
